,bic,isin,kurz,min,max,Negativní scéná? (r?stová míra %),Neutrální scéná? (r?stová míra %),Pozitivní scéná? (r?stová míra %)
"TRIGEMA REF5,10/25",BDCTRIRE,CZ0003529554,95.5,92,97.5,-4.05,-1.20,4.34
SAB FINANCE,BAASABFI,CZ0009009940,1060,1020,1090,-5.15,0.16,2.47
HB REAVIS VAR/25,BDBHBREB,CZ0003541245,98,98,104,-5.04,-4.33,-0.78
"JTEF CZKII 5,25/25",BDAJTEII,CZ0003518649,97.5,91.5,97.5,-1.53,2.10,5.01
J&T BANKA 10% PERP,BDAPODBA,CZ0003704249,104.5,102,109,-3.03,0.40,2.02
"TRIGEMA REF8,75/28",BDETRIRE,CZ0003550709,104.99,100,105,-2.19,-0.55,3.42
"3MFUND MSI 5,70/26",BDAMFUND,CZ0003533069,95,90,95,-2.30,2.50,5.85
"JTEF CZKVI 8,50/26",BDAJTENH,CZ0003546871,104,99.5,104,-2.22,-0.18,2.86
"EPH 8,00/27",BDEEPHFI,CZ0003542102,104.5,100,104.5,1.16,2.87,3.32
"FIDUR.NMV. 8,60/28",BDBFIDNE,CZ0003556441,104.49,100,104.49,0.60,2.55,3.11
"J&TEF CZ V 8,50/27",BDAJTENG,CZ0003543092,104.49,100,104.5,1.20,3.18,3.65
"ALPHA Q. 5,25/26",BDBALPQU,CZ0000001375,94,90,94,1.41,3.35,6.42
"JTSEC F. 1 8,25/28",BDAJTSCZ,CZ0003552929,104.95,99.99,105,1.85,4.39,5.19
"JTGF XIII. 8,25/25",BDAJTGLT,CZ0003541237,100.99,99,103,0.07,1.27,0.05
"JTGF XV. 8,125/28",BDAJTGLU,CZ0003550378,103,99.99,104,0.23,0.03,0.87
"JTGF XI. 4,90/26",BDAJTGLS,CZ0003533077,95.5,90.51,95.5,0.90,1.50,4.70
COLTCZ VAR/27,BDACZGCE,CZ0003530776,100.25,99,104,-4.54,-0.90,0.07
"DR. MAX 8,50/28",BDADRMAF,CZ0003556177,105.5,102.5,106,0.96,2.43,3.75
"NATLAND R. 5,47/24",BDAPRVRE,CZ0003521643,99.05,95.05,99.05,1.33,3.29,3.70
"FRAT.FUNDS 5,25/26",BDAFRAFS,CZ0000001367,93.5,90.4,94,-2.54,1.13,5.52
"SAZKA GR. 5,20/24",BDASAZGR,CZ0003522930,98,96,99,-2.80,-0.76,1.62
"JTPEG F.CZ 8,00/28",BDAJTPFI,CZ0003556094,103.49,99.99,103.49,2.31,3.58,4.41
"J&T BANKA 7,50/26",BDJPODBA,XS2705065188,101.5,100,101.5,1.48,1.95,-0.56
JUVENTUS F.C.,BAAJUV,IT0005572778,58,58,58.6,1.14,0.92,2.41
"ST.DLUHOP. 5,50/28",BHXSTDL,CZ0001006696,107.4,107.4,107.4,-0.29,-0.17,-1.28
EQUA BANK VAR/27,,CZ0003704595,100,100,100,-2.20,-1.53,1.91
"FINEP B.Z. 3,95/26",BDBFINBA,CZ0003531105,100,100,100,-0.50,-1.58,-2.45
"RSBC INV. 4,716/24",BDARSBIN,CZ0003521692,100,100,100,-2.35,-1.30,-0.79
"ST.DLUHOP. 1,00/26",BETSTDL,CZ0001004469,96.19,96.19,96.19,-0.18,-0.82,-0.73
"ST.DLUHOP. 1,75/32",BHLSTDL,CZ0001006233,99.17,99.17,99.17,-0.04,-0.05,-1.72
ST.DLUHOP. VAR/43,BIFSTDL,CZ0001007041,99.71,99.71,99.71,1.39,-0.34,0.31
"ST.DLUHOP. 4,90/34",BIASTDL,CZ0001006894,102.62,102.62,102.62,-1.62,-2.15,0.26
"ST.DLUHOP. 2,50/28",BEDSTDL,CZ0001003859,95.88,95.88,95.88,2.13,-0.75,-0.78
"DIRECT 6,85/26",BDADIRFI,CZ0003538399,100,100,100,1.85,2.89,1.82
MONETA MB VAR/30,BDBGECBA,CZ0003705188,100,100,100,1.04,1.79,1.90
MND VAR/27,BDBMNDAS,CZ0003538183,101,100,101,-2.34,-1.00,-1.40
HZL HB VAR/37,,CZ0002001266,115.33,115.33,115.33,-0.82,0.62,-0.75
HZL HB VAR/37 - 1,,CZ0002001308,116.71,116.71,116.71,1.86,2.29,2.44
"?SNF SICAV 9,00/25",BDHBOHRE,CZ0003548927,101.15,101.15,101.15,2.30,-1.10,-2.34
"EQUA BANK 4,06/29",BDDICBA,CZ0003704900,100,100,100,1.22,-0.46,-0.82
SPP 26T 08/12,BIISTDL,CZ0001007181,98.07,98.07,98.07,-0.96,-1.11,-1.39
"ST.DLUHOP. 5,70/24",BCJSTDL,CZ0001002547,103.99,103.99,103.99,1.66,-0.70,-1.01
HZL HB VAR/37 - 2,BOIREGI,CZ0002001720,116.5,116.5,116.5,-1.84,-0.28,-1.24
NET4GAS VAR/28,BDBNETGA,CZ0003529786,100,100,100,-0.52,-2.00,-0.51
ST.DLUHOP. VAR/24,BHUSTDL,CZ0001006498,100.68,100.68,100.68,-0.08,-0.56,-0.75
"?SNF SICAV 9,00/26",BDFBOHRE,CZ0003548901,101.15,101.15,101.15,2.16,0.42,-2.00
"DIAMOND 4,00/24",,CZ0003510851,100,100,100,-2.41,-2.31,-1.53
ST.DLUHOP. VAR/27,BEJSTDL,CZ0001004105,97.55,97.55,97.55,0.99,1.18,0.47
HZL HB VAR/37 - 3,,CZ0002001183,116.79,116.79,116.79,1.76,0.92,-0.67
